KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0315510521;JamnÌk (Okres Liptovsk˝ Mikul·ö);44;76;121;113;28;82;0;13
SK0315510564;Kr·æova Lehota;75;110;145;149;37;74;1;7
SK0315510572;KvaËany (Okres Liptovsk˝ Mikul·ö);56;87;150;161;30;68;1;5
SK0315510581;Lazisko;28;48;120;92;28;53;0;3
SK0315510602;Liptovsk· Anna;5;15;26;31;6;9;0;3
SK0315510611;Liptovsk· Kokava;79;145;243;255;64;132;0;16
SK0315510653;Liptovsk· Sielnica;50;84;136;182;26;119;1;7
SK0315510688;LiptovskÈ Beharovce;8;11;24;16;4;16;0;1
SK0315510696;LiptovskÈ KæaËany;51;63;95;88;18;57;0;6
SK0315510700;LiptovskÈ Matiaöovce;39;48;77;82;11;53;1;3
SK0315510726;Liptovsk˝ Hr·dok;579;932;1434;2026;455;1454;32;242
SK0315510734;Liptovsk˝ J·n;152;157;182;280;70;227;2;29
SK0315510751;Liptovsk˝ Ondrej;64;81;187;148;27;108;1;11
SK0315510777;Liptovsk˝ Trnovec;50;75;117;175;35;112;0;19
SK0315510793;ºubeæa;147;172;323;273;88;199;2;12
SK0315510831;MalatÌny;33;37;60;53;12;33;0;16
SK0315510840;MalÈ BorovÈ;6;48;41;17;5;6;0;1
SK0315510858;Maluûin·;18;37;70;64;14;14;2;2
SK0315510874;Niûn· Boca;10;29;28;54;6;35;0;1
SK0315510904;Partiz·nska ºupËa;162;233;357;288;61;180;1;36
SK0315510912;PavËina Lehota;53;35;74;102;21;93;0;15
SK0315510921;Pavlova Ves;26;82;59;52;20;38;0;7
SK0315510947;PodtureÚ;145;123;230;295;67;208;1;25
SK0315510963;Pribylina;183;321;249;289;61;181;6;37
SK0315510971;Prosiek;36;35;52;51;11;36;0;5
SK0315511013;SmreËany;69;80;134;178;40;168;11;16
SK0315511048;Sv‰t˝ KrÌû;98;122;258;227;50;115;1;16
SK0315511072;TrstenÈ;17;27;53;73;13;36;0;1
SK0315511099;Uhorsk· Ves;79;67;131;134;41;72;1;12
SK0315511111;Vavriöovo;73;103;158;175;44;106;2;10
SK0315511129;Vaûec;307;604;500;564;81;205;7;114
SK0315511137;VeækÈ BorovÈ;1;8;17;9;1;3;0;1
SK0315511145;Vetern· Poruba;48;44;104;110;23;46;0;12
SK0315511153;Vlachy;62;79;172;160;37;97;4;8
SK0315511170;V˝chodn·;267;517;530;537;99;232;2;38
SK0315511188;Vyön· Boca;11;13;20;26;10;25;0;1
SK0315511196;Z·vaûn· Poruba;105;165;272;356;72;251;1;26
SK0315511200;éiar (Okres Liptovsk˝ Mikul·ö);60;59;89;127;18;118;2;4
SK0315556807;Iûipovce;11;10;29;20;7;12;0;0
SK0315558281;Liptovsk· Por˙bka;138;387;296;219;51;131;6;20
SK0315580287;Liptovsk˝ Peter;149;145;249;363;80;270;4;43
SK0316512036;Martin;5082;6759;9082;14489;2865;11683;91;2469
SK0316512052;Bel·-Dulice;133;183;291;356;58;184;1;29
SK0316512061;Benice;39;57;67;97;20;63;0;8
SK0316512079;Blatnica;124;155;244;260;38;188;2;10
SK0316512133;BystriËka;130;188;308;405;78;327;3;37
SK0316512150;œanov·;60;89;152;143;28;74;0;13
SK0316512168;Diakov·;59;92;43;151;16;119;2;9
SK0316512206;Doln˝ KalnÌk;47;51;20;73;18;91;0;1
SK0316512214;Draûkovce;124;143;137;285;42;265;1;22
SK0316512257;Folkuöov·;20;22;45;31;12;15;0;5
SK0316512290;Horn˝ KalnÌk;22;24;42;53;13;30;0;2
SK0316512346;Karlov·;9;24;28;25;4;20;0;1
SK0316512354;Kl·ötor pod Znievom;221;265;387;460;82;301;5;36
SK0316512371;Koöùany nad Turcom;151;173;243;386;66;277;0;40
SK0316512389;Krpeæany;98;160;321;306;47;125;1;29
SK0316512397;Lask·r;12;32;24;28;4;16;0;4
SK0316512419;Leûiachov;8;22;59;47;5;12;0;2
SK0316512435;Lipovec (Okres Martin);93;108;181;243;52;184;16;22
SK0316512478;Necpaly;100;133;195;276;45;216;3;30
SK0316512486;NolËovo;39;39;72;64;12;26;0;3
SK0316512508;Podhradie (Okres Martin);69;102;191;192;33;81;1;13
SK0316512524;PrÌbovce;115;150;289;285;77;150;2;34
SK0316512541;Rakovo;44;57;86;113;11;65;0;5
SK0316512567;Ratkovo;22;19;52;56;7;36;0;2
SK0316512583;SklabiÚa;60;82;146;180;34;114;0;29
SK0316512591;Sklabinsk˝ Podz·mok;16;24;53;42;15;28;1;2
SK0316512613;Slovany;52;79;131;104;22;45;1;7
SK0316512630;Socovce;24;48;64;61;10;25;0;7
SK0316512648;SuËany;486;817;1080;1287;256;644;26;115
SK0316512656;ä˙tovo;56;84;164;123;20;57;1;4
SK0316512664;Trebostovo;77;89;142;143;31;104;1;13
SK0316512672;Trnovo;35;42;81;68;14;26;1;13
SK0316512681;Turany;390;662;913;1196;235;635;10;152
SK0316512702;TurËianska ätiavniËka;133;141;208;262;46;142;2;20
SK0316512711;TurËianske KæaËany;117;149;215;294;54;170;0;25
SK0316512737;TurËiansky œur;15;28;56;38;8;17;0;9
SK0316512753;TurËiansky Peter;74;100;66;138;21;107;2;28
SK0316512761;ValËa;210;279;393;475;90;271;7;35
SK0316512796;VrÌcko;22;59;131;123;27;65;0;13
SK0316512818;Z·borie;22;27;47;33;7;33;0;1
SK0316512834;éabokreky;100;182;279;316;75;214;0;40
SK0316545961;TurËianske Jaseno;54;59;129;104;15;53;1;4
SK0316557358;Vr˙tky;780;1141;1471;2155;375;1370;5;214
SK0317509558;BabÌn;199;338;375;313;63;127;1;28
SK0317509566;BeÚadovo;216;212;194;183;34;95;3;1
SK0317509582;Bobrov;326;301;449;417;102;270;6;42
SK0317509591;Breza;233;380;389;385;57;152;7;24
SK0317509680;HruötÌn;393;592;786;805;154;409;13;25
SK0317509728;Klin;413;491;576;599;91;275;7;23
SK0317509779;Kruöetnica;124;209;214;283;30;105;2;6
SK0317509809;Lokca;311;453;603;600;96;291;7;28
SK0317509817;Lomn·;150;246;245;190;36;64;4;8
SK0317509850;M˙tne;552;718;768;622;79;304;2;27
SK0317509868;N·mestovo;932;1071;1283;2095;407;1731;11;192
SK0317509884;Novoù;647;825;884;819;140;359;8;31
SK0317509892;Oravsk· Jasenica;265;367;432;447;88;301;2;20
SK0317509906;Oravsk· Lesn·;502;813;688;871;118;408;5;40
SK0317509914;Oravsk· Polhora;635;912;952;854;121;442;8;50
SK0317509931;OravskÈ VeselÈ;411;644;738;679;124;380;2;18
SK0317510025;RabËa;906;1150;1213;1086;199;510;8;67
SK0317510033;RabËice;274;479;488;488;54;214;3;24
SK0317510050;SihelnÈ;373;561;556;404;61;178;11;38
SK0317510092;çapeöovo;127;127;189;192;37;97;1;6
SK0317510149;Vasiæov;124;156;200;193;39;111;3;14
SK0317510157;VavreËka;264;269;321;375;74;279;1;37
SK0317510203;Z·kamennÈ;906;1169;1334;1211;221;604;41;56
SK0317510246;Zubrohlava;346;428;561;580;89;315;6;29
SK0318507300;Ivachnov·;108;95;103;203;43;114;2;12
SK0318507407;TurÌk;48;35;60;69;14;46;0;7
SK0318510301;BeöeÚov·;112;82;126;185;28;90;0;34
SK0318510441;Hubov·;130;197;226;266;53;191;6;10
SK0318510530;Kalameny;36;84;109;121;13;85;0;2
SK0318510548;Komjatn·;213;334;430;339;74;161;4;21
SK0318510599;Likavka;290;524;625;801;156;501;13;77
SK0318510629;Liptovsk· L˙ûna;286;515;727;707;151;341;2;53
SK0318510637;Liptovsk· Osada;164;245;414;440;89;208;2;55
SK0318510661;Liptovsk· ätiavnica;180;212;272;308;63;244;0;21
SK0318510670;Liptovsk· Tepl·;105;150;197;324;60;175;1;19
SK0318510718;LiptovskÈ Rev˙ce;130;245;437;426;82;194;5;17
SK0318510742;Liptovsk˝ Michal;30;41;76;87;17;39;0;11
SK0318510785;Liskov·;208;332;490;571;102;329;4;25
SK0318510807;ºubochÚa;118;132;207;303;56;239;1;18
SK0318510815;L˙Ëky (Okres Ruûomberok);153;247;400;466;87;264;2;32
SK0318510823;Ludrov·;92;176;266;267;51;141;1;6
SK0318510866;MartinËek;48;63;124;116;22;70;0;9
SK0318510955;Potok (Okres Ruûomberok);12;12;28;20;2;23;0;1
SK0318510998;Ruûomberok;2711;4262;5191;7173;1514;5446;53;1057
SK0318511005;LiptovskÈ SliaËe;425;687;950;908;197;509;10;32
SK0318511030;Stankovany;99;215;341;288;49;126;2;29
SK0318511056;ätiavniËka;120;157;150;220;35;177;1;9
SK0318511064;ävoöov;109;165;207;224;44;98;1;8
SK0318511102;Valask· Dubov·;88;128;181;185;57;124;1;18
SK0319512044;Abramov·;13;47;31;37;5;28;0;17
SK0319512087;Blaûovce;13;27;44;52;6;17;0;3
SK0319512095;Bodorov·;32;47;71;58;7;23;0;2
SK0319512109;Borcov·;8;18;43;46;7;21;0;3
SK0319512117;Brieötie;9;27;59;24;5;9;1;2
SK0319512125;Budiö;14;35;58;59;6;20;0;4
SK0319512141;»remoönÈ;1;14;31;17;4;10;0;2
SK0319512222;DubovÈ (Okres TurËianske Teplice);64;109;204;187;45;74;2;13
SK0319512265;H·j (Okres TurËianske Teplice);45;70;146;113;22;59;0;7
SK0319512273;Horn· ätubÚa;188;445;445;323;41;111;5;60
SK0319512303;IvanËin·;7;15;33;24;4;6;0;1
SK0319512311;Jasenovo;12;14;41;32;13;9;0;2
SK0319512320;Jazernica;34;58;87;95;21;46;1;10
SK0319512338;Kaæamenov·;8;19;26;18;1;10;0;3
SK0319512427;Lieöno;5;15;21;10;4;1;0;0
SK0319512443;Mal˝ »epËÌn;52;93;157;146;23;66;0;8
SK0319512451;Moökovec;10;7;16;14;4;19;0;0
SK0319512460;Moöovce;140;158;352;396;84;203;2;22
SK0319512494;Ondraöov·;8;11;28;23;4;12;0;6
SK0319512559;Raköa;18;31;62;59;15;30;0;4
SK0319512575;Rudno;17;33;63;59;9;19;0;0
SK0319512605;SklenÈ;48;171;210;139;38;46;5;29
SK0319512621;SlovenskÈ Pravno;76;162;271;240;29;103;3;7
SK0319512699;TurËek;72;136;154;133;35;59;3;27
SK0319512729;TurËianske Teplice;585;917;1420;1825;338;1064;18;245
SK0319512788;Veæk˝ »epËÌn;36;26;86;60;8;23;1;4
SK031A509604;Brezovica (Okres TvrdoöÌn);167;327;316;351;42;150;2;12
SK031A509655;Habovka;177;232;268;395;64;216;8;14
SK031A509663;Hladovka;161;249;222;251;46;105;1;12
SK031A509795;Liesek;437;695;644;668;108;382;5;23
SK031A509876;Niûn· (Okres TvrdoöÌn);432;498;741;1231;181;751;5;97
SK031A509949;Oravsk˝ Biely Potok;107;143;158;204;20;100;2;6
SK031A509981;Podbiel;153;236;291;328;52;212;0;32
SK031A510076;Such· Hora;220;418;338;287;64;94;3;31
SK031A510084;ätefanov nad Oravou;86;130;184;165;32;91;0;9
SK031A510106;Trsten·;860;1031;1328;2057;341;1470;8;118
SK031A510114;TvrdoöÌn;1004;1389;1733;2537;464;1498;108;219
SK031A510173;Vitanov·;173;302;309;299;67;159;4;8
SK031A510190;Z·biedovo;144;209;223;207;37;74;4;2
SK031A510238;Zuberec;238;311;354;574;75;329;2;30
SK031A518719;»imhov·;87;145;154;164;32;86;3;4
SK031B517402;éilina;8988;9033;12112;21483;4683;22861;141;3355
SK031B517429;Bel· (Okres éilina);389;466;956;905;140;406;6;70
SK031B517470;»iËmany;5;25;36;24;10;17;1;1
SK031B517488;Divina;287;357;790;617;120;250;1;19
SK031B517496;Divinka;131;144;227;272;60;167;2;19
SK031B517500;DlhÈ Pole;167;273;576;536;100;262;4;20
SK031B517518;Doln· Tiûina;194;236;391;359;79;186;1;10
SK031B517526;Doln˝ HriËov;192;227;387;473;77;251;3;41
SK031B517542;FaËkov;70;116;197;144;49;67;2;8
SK031B517551;Gbeæany;187;171;293;358;91;328;1;20
SK031B517577;HÙrky;110;118;153;259;34;196;0;12
SK031B517593;Horn˝ HriËov;91;106;175;254;49;148;0;12
SK031B517640;JasenovÈ;79;76;146;168;36;91;1;17
SK031B517658;Kamenn· Poruba (Okres éilina);236;268;516;485;105;230;1;15
SK031B517682;Konsk· (Okres éilina);225;202;402;421;101;278;4;17
SK031B517704;KotrËin· L˙Ëka;86;75;142;150;29;84;0;2
SK031B517712;KrasÚany;259;245;397;350;84;241;6;32
SK031B517721;Kunerad;141;163;283;269;62;123;0;9
SK031B517739;Lietava;206;212;393;415;98;255;1;21
SK031B517755;Lietavsk· Svinn·-Babkov;194;265;445;435;84;234;5;40
SK031B517763;Lutiöe;81;151;260;156;32;74;3;4
SK031B517771;Lysica;104;139;285;199;39;96;2;7
SK031B517780;Mal· »ierna;33;47;99;90;19;28;2;13
SK031B517801;Mojö;220;162;185;343;78;296;0;27
SK031B517828;Nededza;116;153;287;256;75;168;1;14
SK031B517879;Podhorie (Okres éilina);160;135;229;226;35;144;2;18
SK031B517917;Rajec;621;763;1389;1640;325;943;11;205
SK031B517925;Rajeck· Lesn·;115;181;384;330;67;137;2;18
SK031B517933;RajeckÈ Teplice;293;324;468;815;177;677;4;83
SK031B517941;Rosina;380;395;598;898;207;783;8;60
SK031B517950;Str·Úavy;229;230;451;547;116;289;1;53
SK031B517968;Str·nske;125;115;200;220;55;151;1;22
SK031B517976;Str·ûa;86;95;204;172;24;84;0;8
SK031B517984;StreËno;264;336;733;679;154;413;2;32
SK031B518000;SvedernÌk;249;192;303;411;66;370;1;22
SK031B518034;TepliËka nad V·hom;580;597;822;1167;292;803;28;90
SK031B518042;Terchov·;417;671;1118;1009;209;472;9;104
SK031B518051;Turie;252;296;498;533;121;276;20;54
SK031B518069;VarÌn;505;529;835;1111;203;650;4;59
SK031B518077;Veæk· »ierna;49;62;119;77;12;37;1;8
SK031B518093;ViöÚovÈ (Okres éilina);355;430;668;757;164;543;4;83
SK031B518131;ZbyÚov;116;116;234;217;60;127;1;10
SK031B547522;Bitarov·;97;131;181;220;42;125;0;12
SK031B547557;Brezany;109;92;149;160;29;113;2;3
SK031B547590;HriËovskÈ Podhradie;33;72;105;90;14;34;2;4
SK031B547611;OvËiarsko;104;123;131;173;35;137;0;6
SK031B547620;Paötina Z·vada;29;36;76;65;10;24;0;4
SK031B557935;Lietavsk· L˙Ëka;198;254;466;484;144;281;4;47
SK031B557960;Por˙bka (Okres éilina);62;64;115;146;34;64;0;36
SK031B557986;œurËin·;125;186;337;245;59;131;3;10
SK031B557994;KæaËe;52;48;102;111;28;71;0;7
SK031B558168;Nezbudsk· L˙Ëka;30;59;139;102;11;33;2;10
SK031B581712;äuja;38;52;90;89;10;44;0;4
SK0321508438;Bansk· Bystrica;7814;7929;9570;21719;3865;22077;136;2908
SK0321508454;BadÌn;214;282;291;591;85;505;2;58
SK0321508471;Bal·ûe;19;26;48;74;11;37;0;6
SK0321508519;»erÌn;45;59;82;131;20;95;0;18
SK0321508543;Doln· MiËin·;53;62;80;122;24;81;4;13
SK0321508551;Doln˝ Harmanec;19;64;58;83;14;21;0;2
SK0321508560;Donovaly;20;17;18;75;13;93;0;13
SK0321508586;D˙bravica;60;82;97;95;17;53;1;13
SK0321508594;Harmanec;65;214;221;204;27;56;1;60
SK0321508616;Hiadeæ;54;86;147;132;15;74;1;3
SK0321508632;Horn· MiËin·;63;72;112;191;24;170;0;9
SK0321508641;HornÈ Pröany;33;42;90;119;15;91;2;6
SK0321508659;Hrochoù;145;311;358;373;53;135;7;70
SK0321508675;Brusno;195;298;410;729;114;358;3;46
SK0321508713;KordÌky;58;56;84;113;18;144;1;3
SK0321508721;Kr·liky;66;89;116;187;50;170;1;14
SK0321508748;ºubietov·;152;171;264;415;50;162;1;18
SK0321508756;LuËatÌn;60;81;129;236;33;117;0;15
SK0321508764;Medzibrod;138;189;290;438;54;234;5;34
SK0321508781;MÙlËa;54;112;82;85;17;47;3;12
SK0321508799;Moötenica;15;25;48;89;16;32;0;8
SK0321508802;MotyËky;6;13;32;43;2;6;0;3
SK0321508837;Oravce;10;35;33;66;8;20;0;5
SK0321508861;Podkonice;80;99;175;296;49;202;0;13
SK0321508896;Pohronsk˝ Bukovec;13;22;35;31;2;12;0;1
SK0321508918;Poniky;161;243;337;461;55;250;6;16
SK0321508926;PovraznÌk;15;15;47;36;8;15;0;7
SK0321508942;Priechod;114;120;223;313;39;181;3;16
SK0321508969;RieËka (Okres Bansk· Bystrica);103;97;149;247;48;175;0;13
SK0321508977;SebedÌn-BeËov;32;54;92;105;15;53;0;7
SK0321508985;Selce (Okres Bansk· Bystrica);194;270;428;681;108;415;0;29
SK0321509001;Slovensk· ºupËa;315;437;566;993;148;695;10;101
SK0321509019;StarÈ Hory;65;67;73;181;38;114;2;11
SK0321509027;StrelnÌky;63;139;237;212;30;81;2;6
SK0321509035;äpania Dolina;16;26;31;53;10;81;0;6
SK0321509060;Tajov;66;70;129;189;40;156;1;17
SK0321557269;Tureck·;9;26;41;41;8;33;0;1
SK0321557277;Kynceæov·;37;38;67;113;19;114;0;3
SK0321557285;Nemce;100;125;203;370;58;254;2;30
SK0321557293;Vlkanov·;133;225;277;344;55;211;2;46
SK0321580236;Hronsek;56;93;105;219;30;141;2;8
SK0321580244;Malachov;114;140;213;317;63;246;2;22
SK0322516597;Sv‰t˝ Anton;152;210;252;329;67;144;2;66
SK0322516601;BaÔan;10;36;56;28;9;21;2;5
SK0322516627;Bansk· Bel·;99;221;279;322;58;142;4;46
SK0322516643;Bansk· ätiavnica;929;1496;1866;2793;447;1860;21;216
SK0322516651;Bansk˝ Studenec;54;93;124;107;30;49;0;6
SK0322516678;Beluj;10;34;31;41;3;16;0;2
SK0322516716;Dek˝ö;21;33;60;49;7;22;0;1
SK0322516856;Ilija;45;65;74;92;17;45;0;12
SK0322516953;KozelnÌk;11;32;52;42;9;11;2;2
SK0322517071;MoËiar;11;55;34;38;12;8;1;4
SK0322517143;Podhorie (Okres Bansk· ätiavnica);32;44;86;98;16;50;1;2
SK0322517160;PoË˙vadlo;3;20;23;26;0;11;0;3
SK0322517178;PrenËov;65;136;179;146;20;69;3;19
SK0322517283;ätiavnickÈ Bane;94;99;207;242;33;94;3;41
SK0322517372;Vysok· (Okres Bansk· ätiavnica);17;22;43;29;3;12;0;3
SK0323508446;Bac˙ch;52;157;248;253;46;126;1;14
SK0323508462;BeÚuö;125;156;274;334;58;179;0;26
SK0323508489;Brav‰covo;56;115;208;187;29;75;2;8
SK0323508497;Brezno;2117;3572;3600;5427;1057;3493;34;761
SK0323508527;»ierny Balog;564;1185;1265;1170;192;528;13;145
SK0323508535;Doln· Lehota;43;135;205;183;30;70;1;14
SK0323508578;Dr·bsko;16;45;40;30;5;21;13;6
SK0323508608;Heæpa;183;580;600;631;121;274;9;73
SK0323508624;Horn· Lehota (Okres Brezno);51;99;125;180;37;71;3;32
SK0323508667;Hronec;116;202;287;318;43;142;2;36
SK0323508691;Jarab·;3;6;5;12;2;10;0;1
SK0323508705;Jasenie;108;162;283;354;77;139;4;11
SK0323508730;Lom nad Rimavicou;13;48;70;60;11;24;0;2
SK0323508772;Michalov·;138;161;308;406;60;174;3;41
SK0323508811;M˝to pod œumbierom;41;55;112;158;33;120;0;6
SK0323508829;Nemeck·;154;293;393;542;70;221;2;55
SK0323508845;Osrblie;33;42;136;86;20;31;1;8
SK0323508853;Podbrezov·;311;537;771;1086;201;476;13;227
SK0323508870;Pohorel·;169;532;405;538;80;277;84;56
SK0323508888;Pohronsk· Polhora;220;347;366;417;59;200;9;82
SK0323508900;Polomka;401;621;627;713;109;393;12;66
SK0323508934;Predajn·;118;162;267;429;67;195;3;60
SK0323508951;R·ztoka;27;53;62;91;7;38;0;1
SK0323508993;Sihla;22;30;57;49;8;27;1;3
SK0323509043;äumiac;187;520;194;231;41;93;13;56
SK0323509051;Telg·rt;229;678;200;173;30;105;9;75
SK0323509086;Valask·;294;568;756;974;159;426;15;250
SK0323509094;VaækovÚa;79;214;55;30;8;14;1;17
SK0323509124;Z·vadka nad Hronom;265;536;465;487;79;237;5;100
SK0323557251;Bystr· (Okres Brezno);7;16;20;52;18;45;0;6
SK0324511510;L·tky;72;110;130;139;13;90;2;8
SK0324511731;Podkriv·Ú;42;131;166;152;17;57;0;4
SK0324518263;Detva;1356;2318;2969;3975;594;2055;35;653
SK0324518271;Detvianska Huta;62;133;169;187;28;69;2;11
SK0324518379;D˙bravy;85;174;271;273;36;94;3;17
SK0324518450;Horn˝ TisovnÌk;11;48;48;46;6;8;1;2
SK0324518468;HriÚov·;679;1307;1850;1924;295;852;18;257
SK0324518492;KlokoË;48;97;126;133;21;46;1;9
SK0324518549;Kriv·Ú;180;253;403;555;80;252;4;25
SK0324518794;SlatinskÈ Lazy;68;79;133;131;27;89;0;10
SK0324518816;Star· Huta;37;58;88;79;13;42;0;5
SK0324518824;Stoûok;150;149;215;333;59;155;2;11
SK0324518921;VÌgæaö;158;263;383;436;55;203;4;44
SK0324518930;VÌgæaösk· Huta-Kalinka;22;47;88;97;18;41;0;7
SK0324580520;Koryt·rky;102;176;246;243;38;119;0;24
SK0325518212;BzovÌk;151;245;251;295;53;125;1;8
SK0325518239;Cerovo;67;153;155;112;20;50;0;15
SK0325518247;»abradsk˝ Vrbovok;27;59;87;40;8;10;1;3
SK0325518255;»ekovce;93;97;131;75;13;23;0;18
SK0325518280;DeviËie;26;43;92;85;14;42;1;2
SK0325518301;DolnÈ Mladonice;18;15;28;39;4;22;0;0
SK0325518310;Doln˝ BadÌn;21;48;60;73;14;33;0;1
SK0325518336;DomanÌky;23;68;50;46;14;11;0;1
SK0325518344;Dr·ûovce;10;28;39;20;7;10;2;3
SK0325518352;Drienovo;6;27;32;30;5;6;1;0
SK0325518387;Dudince;102;145;286;429;92;280;4;42
SK0325518409;Hontianske Moravce;77;130;208;179;41;101;0;45
SK0325518417;Hontianske Nemce;124;263;339;409;64;169;2;54
SK0325518425;Hontianske Tes·re;118;274;194;173;28;67;5;30
SK0325518433;HornÈ Mladonice;25;55;52;32;7;11;1;3
SK0325518441;Horn˝ BadÌn;24;33;34;60;1;18;1;6
SK0325518484;JalöovÌk;22;32;45;65;4;20;0;0
SK0325518514;KozÌ Vrbovok;17;32;52;37;5;7;0;6
SK0325518531;Kr·æovce-Krniöov;11;33;41;41;2;13;1;2
SK0325518557;Krupina;810;1164;1607;2190;418;1165;14;208
SK0325518565;Lackov;12;19;27;27;3;7;0;0
SK0325518573;Ladzany;21;56;76;73;12;17;1;2
SK0325518603;Liöov;30;79;61;26;3;6;1;11
SK0325518611;Litava;108;301;167;109;25;37;0;7
SK0325518646;Medovarce;20;85;47;46;7;5;0;3
SK0325518701;RykynËice;15;42;99;70;14;15;2;8
SK0325518735;Sebechleby;121;240;283;317;41;138;2;33
SK0325518743;Selce (Okres Krupina);6;13;40;22;5;7;0;0
SK0325518751;Senohrad;64;125;192;211;34;76;1;25
SK0325518832;Sudince;19;37;19;3;0;2;2;3
SK0325518841;S˙dovce;29;80;63;22;2;8;1;4
SK0325518867;Terany;75;138;164;119;19;40;4;24
SK0325518883;TrpÌn;9;25;23;34;5;7;0;4
SK0325518905;UÚatÌn;19;26;50;52;8;20;0;2
SK0325518956;Zemiansky Vrbovok;6;20;25;20;0;5;0;2
SK0325518999;éibritov;4;16;19;19;4;7;0;4
SK0326511218;LuËenec;2542;3638;4270;7236;1395;4816;191;1814
SK0326511226;¡belov·;44;76;35;30;7;9;2;16
SK0326511234;Belina;73;218;136;81;20;30;2;57
SK0326511251;Boækovce;68;129;164;156;36;69;1;13
SK0326511277;Budin·;14;42;71;47;11;16;0;6
SK0326511293;Buzitka;44;79;136;136;33;42;1;7
SK0326511323;»akanovce (Okres LuËenec);178;557;158;129;35;40;2;27
SK0326511331;»amovce;94;219;113;82;17;20;0;36
SK0326511358;DivÌn;259;449;451;524;99;221;3;24
SK0326511366;DobroË;57;90;170;173;22;71;1;12
SK0326511374;Kotmanov·;22;71;71;81;8;19;0;7
SK0326511391;Fiæakovo;1047;2873;1782;2229;517;906;35;560
SK0326511404;FiæakovskÈ Kov·Ëe;132;274;235;181;32;38;1;16
SK0326511421;HaliË;176;267;344;457;83;244;8;83
SK0326511439;Holiöa;79;255;160;113;24;29;0;10
SK0326511463;Jelöovec;38;128;57;40;9;5;2;52
SK0326511480;Kalonda;14;41;60;45;12;14;1;11
SK0326511528;LehÙtka;47;99;96;73;10;17;0;13
SK0326511536;Lentvora;10;51;9;8;3;0;0;1
SK0326511544;Lipovany;24;53;78;46;12;24;1;8
SK0326511552;LovinobaÚa;226;530;386;469;77;198;2;47
SK0326511561;ºuboreË;42;125;79;61;16;15;2;8
SK0326511579;LupoË;18;48;43;51;15;23;1;7
SK0326511609;Maökov·;44;81;76;81;11;28;0;4
SK0326511625;MuËÌn;117;280;169;115;19;36;6;21
SK0326511641;M˝tna;112;172;313;357;52;124;2;33
SK0326511668;Nitra nad Ipæom;70;188;64;31;7;2;5;14
SK0326511676;NovÈ Hony;19;44;41;45;6;16;2;6
SK0326511692;PanickÈ Dravce;81;169;167;195;45;61;1;24
SK0326511706;PÌla (Okres LuËenec);18;53;73;76;10;16;0;2
SK0326511714;Pincin·;15;45;56;68;5;16;0;3
SK0326511722;Pleö;27;37;49;52;6;13;0;7
SK0326511749;PodreËany;51;94;133;141;25;70;1;12
SK0326511757;Polichno;15;56;24;16;1;6;1;9
SK0326511773;Praha;5;29;13;20;2;2;1;3
SK0326511781;Pröa;15;36;45;58;12;21;1;2
SK0326511790;Radzovce;159;506;370;341;81;118;4;23
SK0326511803;Rapovce;107;331;177;194;31;51;3;36
SK0326511811;Ratka;36;55;74;101;10;45;0;8
SK0326511838;Ruûin·;97;279;160;161;38;72;3;25
SK0326511846;Star· HaliË;78;116;179;157;26;61;1;20
SK0326511854;ä·voæ;83;257;124;71;17;13;2;21
SK0326511862;äiatorsk· Bukovinka;30;66;73;63;13;39;1;4
SK0326511871;äÌd;258;550;202;138;30;39;11;101
SK0326511897;äurice;38;109;139;127;27;24;0;7
SK0326511901;ToËnica;52;99;82;80;15;49;4;7
SK0326511919;Tom·öovce (Okres LuËenec);112;207;297;430;77;214;1;36
SK0326511927;Trebeæovce;76;219;235;220;21;74;1;21
SK0326511943;Tuh·r;28;43;106;100;19;37;1;5
SK0326511994;Veæk· nad Ipæom;126;274;183;198;43;80;3;25
SK0326512010;VeækÈ Dravce;108;230;148;112;24;41;2;33
SK0326557307;Vidin·;154;221;344;486;96;348;3;42
SK0326557315;Biskupice;127;317;182;240;46;96;5;124
SK0326557331;Gregorova Vieska;14;46;19;35;5;21;0;4
SK0326557340;TrenË;122;240;83;35;5;4;6;63
SK0326558273;Bulhary;64;159;49;34;5;4;3;2
SK0326580309;Mikuöovce (Okres LuËenec);30;70;59;70;9;31;0;6
SK0327511269;BrezniËka (Okres Polt·r);61;127;210;219;21;83;0;4
SK0327511315;CinobaÚa;189;498;569;492;68;139;11;89
SK0327511340;»eskÈ Brezovo;33;83;128;121;27;39;1;12
SK0327511447;Hradiöte (Okres Polt·r);22;46;65;68;5;27;0;7
SK0327511471;Kalinovo;215;344;463;697;124;295;2;86
SK0327511498;Kokava nad Rimavicou;269;704;637;712;116;264;8;51
SK0327511501;Krn·;3;7;10;17;4;13;0;0
SK0327511595;M·linec;140;389;287;356;60;131;9;24
SK0327511617;Ml·dzovo;12;21;27;19;1;18;2;1
