KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0224506346;OËkov;60;81;156;117;18;33;0;7
SK0224506401;Pobedim;128;202;303;274;67;143;2;39
SK0224506427;Podolie;219;401;464;463;78;224;6;59
SK0224506435;Potvorice;74;108;180;202;34;73;2;8
SK0224506443;Povaûany;120;165;320;346;59;195;3;28
SK0224506516;Star· Lehota;9;27;62;43;12;20;0;2
SK0224506524;Star· Tur·;724;1029;2141;2692;454;1302;14;368
SK0224506583;TrenËianske Bohuslavice;102;110;236;293;38;141;2;46
SK0224506630;VaÔovce;63;144;192;173;39;73;1;28
SK0224506672;ViöÚovÈ (Okres NovÈ Mesto nad V·hom);16;32;48;50;4;18;1;2
SK0224556424;Haluzice;9;9;14;17;6;19;0;1
SK0224556441;Zemianske Podhradie;75;125;197;217;36;74;25;15
SK0224556459;Nov· Ves nad V·hom;56;91;114;167;21;89;2;8
SK0225505129;MalÈ KröteÚany;54;100;141;122;24;64;1;21
SK0225505170;Nadlice;58;100;185;156;23;58;1;13
SK0225505196;Nedanovce;52;135;178;139;36;65;0;7
SK0225505307;Ostratice;69;162;226;188;30;91;2;8
SK0225505315;Partiz·nske;1862;3562;4911;5499;1179;3206;36;1184
SK0225505323;Paûiù;69;70;114;129;27;73;1;21
SK0225505463;SkaËany;139;254;365;305;80;136;3;55
SK0225505706;VeækÈ KröteÚany;70;122;157;145;16;68;2;20
SK0225505722;VeækÈ Uherce;180;343;438;598;114;270;4;43
SK0225505731;Veæk˝ KlÌû;95;136;252;225;42;116;2;9
SK0225505803;éabokreky nad Nitrou;197;322;483;446;78;190;7;15
SK0225542733;Boöany;401;664;1069;1058;278;443;4;146
SK0225542962;Hradiöte (Okres Partiz·nske);99;202;298;228;38;113;2;23
SK0225543004;Chynorany;305;469;654;743;131;358;4;61
SK0225543047;Kl·tova Nov· Ves;157;274;457;437;94;173;3;16
SK0225543055;KolaËno;103;154;255;227;33;109;0;4
SK0225556173;Livina;10;30;36;21;7;11;0;3
SK0225556190;LivinskÈ Opatovce;37;51;87;59;11;33;0;5
SK0225556246;Kr·sno;45;89;134;133;40;65;0;20
SK0225556271;TurËianky;11;25;29;42;7;24;1;1
SK0225556416;Jeökova Ves;43;89;155;135;28;37;0;9
SK0225580449;Brodzany;81;126;218;238;51;144;1;19
SK0225580953;MalÈ Uherce;89;113;194;229;42;118;0;8
SK0226512842;Povaûsk· Bystrica;3907;4425;7353;10901;2211;8194;53;1597
SK0226512915;Brvniöte;119;167;340;335;65;157;3;28
SK0226512966;Doln· Marikov·;148;183;379;389;70;209;4;30
SK0226513008;Domaniûa;198;181;346;494;95;249;2;36
SK0226513083;Horn· Marikov·;50;93;190;128;23;70;2;20
SK0226513172;Jasenica;142;168;255;320;53;214;2;37
SK0226513245;Kostolec;27;48;74;66;9;23;0;1
SK0226513466;Papradno;248;384;695;627;128;252;8;65
SK0226513474;PlevnÌk-DrienovÈ;175;223;357;511;80;260;4;29
SK0226513563;PreËÌn;199;203;352;392;79;238;2;45
SK0226513601;Pruûina;256;299;589;496;98;242;6;51
SK0226513687;StupnÈ;74;107;177;203;28;73;2;20
SK0226513741;UdiËa;251;322;555;601;128;319;2;69
SK0226513784;Vrchtepl·;23;29;77;66;11;30;2;10
SK0226513822;Z·skalie;25;42;61;37;7;19;0;3
SK0226518913;Sverepec;166;214;326;330;72;213;4;31
